cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
200,3800.0,760.0,1520.0,1520.0,8,63.36,63.36,63.36,73.1346993081,1.30044734933,58.3115082946,23.0921286503,0.330359494282,80.4921707608,62.6669231404
200,3800.0,760.0,1520.0,1520.0,8,38.4,76.8,76.8,55.2204122095,1.05295976462,42.5494093178,19.977280231,0.285798000443,54.3058361576,52.8963614153
200,3800.0,1520.0,1520.0,760.0,8,63.36,63.36,63.36,52.1605701044,0.858563090133,42.4683890829,19.8657006587,0.284201726162,61.8942336557,50.6589874816
200,3800.0,1520.0,1520.0,760.0,8,76.8,76.8,38.4,39.553356195,0.672910807557,31.7040526585,16.556919804,0.236865805494,45.2429231715,42.637616745
200,3800.0,1140.0,2280.0,380.0,8,63.36,63.36,63.36,28.0853329612,0.419565846225,23.6977180128,14.0963749537,0.201664877735,35.9059559045,33.5993932283
200,3800.0,1140.0,2280.0,380.0,8,57.6,115.2,19.2,21.5899749465,0.352955808597,17.7490945398,12.4162004154,0.177628046,33.2766646344,26.7329138283
210,3800.0,380.0,1140.0,2280.0,8,66.66,66.66,66.66,98.6035022443,1.53195538243,79.6330607447,24.9623959873,0.357115822421,98.5424321801,75.3689218376
210,3800.0,380.0,1140.0,2280.0,8,20.2,60.6,121.2,59.7212152327,1.34968372042,42.1507400512,21.2686364305,0.304272338062,52.4256061728,58.6221591446
210,3800.0,2280.0,1140.0,380.0,8,66.66,66.66,66.66,58.0548532349,0.973003058763,45.7170269547,22.8769997307,0.327281827334,67.3252598616,54.4098860132
210,3800.0,2280.0,1140.0,380.0,8,121.2,60.6,20.2,26.2912575961,0.4273056908,21.3595627795,13.4503723612,0.192423066684,35.6051775282,29.1706959685
210,3800.0,1900.0,1520.0,380.0,8,66.66,66.66,66.66,35.5707533102,0.579205555425,28.7014742506,16.6071142429,0.237583894748,37.3343636507,37.1727563949
210,3800.0,1900.0,1520.0,380.0,8,101.0,80.8,20.2,28.4800571502,0.445432437262,23.3323900266,14.2230015899,0.203476417595,37.6676168671,32.5792655611
210,3800.0,1330.0,1330.0,1140.0,8,66.66,66.66,66.66,74.4856563089,1.27097282294,58.8518045007,23.6370060734,0.338154593325,71.834007378,66.4312705215
210,3800.0,1330.0,1330.0,1140.0,8,70.7,70.7,60.6,58.0063491809,1.01275453036,45.831507468,21.1292947846,0.302278895345,57.0891804975,59.0699037662
210,3800.0,3040.0,380.0,380.0,8,66.66,66.66,66.66,69.7490250587,1.05890004097,54.1794608853,26.0922315308,0.373279421041,73.0191835736,56.2976133851
210,3800.0,3040.0,380.0,380.0,8,161.6,20.2,20.2,22.5350496421,0.340222138001,18.0620356231,9.68337890029,0.138531886986,37.7903562555,19.9537053131
210,3800.0,760.0,1520.0,1520.0,8,66.66,66.66,66.66,78.3672046797,1.37886892277,60.8034748785,24.9475922659,0.356904038139,74.3061337269,67.3796138849
